"id","name","path","extension","resource_type","size","hash","perceptual_hash","updated_at","created_at"
1,"balcony-wall-fence","/resources/threedmodels/kenney_fantasy-town-kit_2.0/Models/FBX format/balcony-wall-fence.fbx",".fbx","threedmodels","26032","1f1ac812f0cd1ac61e333f05deef432644f41effbc784f9eded2fd429d3d1e3c35abc134303611f36c40b3dcf0d3ffd234a44369b75d1ec09be56cc0957c405e",,"2025-08-11 08:07:09.197","2025-08-11 08:07:25.357"
2,"balcony-wall","/resources/threedmodels/kenney_fantasy-town-kit_2.0/Models/FBX format/balcony-wall.fbx",".fbx","threedmodels","26704","01371d9efb362422f8a36f40bdc1454d96e394949d501868a9a8c3bece12bc5b70edd33e4ec52ded9cfcd6c6390155ded8f20ea4eea705fc9525b93b6c685c8b",,"2025-08-11 08:07:09.206","2025-08-11 08:07:25.359"
3,"banner-green","/resources/threedmodels/kenney_fantasy-town-kit_2.0/Models/FBX format/banner-green.fbx",".fbx","threedmodels","26192","3c43f1cd0aa45460ae8adbb82b4a93f4cb75fdd230fbaf2d660cc306eda68b5fe9dc6d98cee168ee9f0b2e517df08a0ecc541bbf551da597e09fb1cf061a78ed",,"2025-08-11 08:07:09.21","2025-08-11 08:07:25.362"
4,"banner-red","/resources/threedmodels/kenney_fantasy-town-kit_2.0/Models/FBX format/banner-red.fbx",".fbx","threedmodels","26096","c981bb5915c4ecffb16b8c73d8dcd133c6d78c568d600564ab158bb5a6dbc3073661c3fb6b5a8991db157fe350e1ea03c62159f944c30c6770b95cc51402d5e5",,"2025-08-11 08:07:09.217","2025-08-11 08:07:25.363"
5,"blade","/resources/threedmodels/kenney_fantasy-town-kit_2.0/Models/FBX format/blade.fbx",".fbx","threedmodels","28432","0c793bf6bbaaa87d379239e67b1b61df6f214859b2dec8dbef291459a8ee963c0f2550db32bc349b6ad8c728911d69d26a70138be545b85d37b432a2fab2c76a",,"2025-08-11 08:07:09.222","2025-08-11 08:07:25.366"
6,"cart-high","/resources/threedmodels/kenney_fantasy-town-kit_2.0/Models/FBX format/cart-high.fbx",".fbx","threedmodels","62576","fe8c8a5d6b3dcb26d1f5df26679c96e308a788e821c27e22e9ff57fdff1073395444d33e7f7f0805111d2645d33b77c70e31afcacf2876396731190ed62ddac7",,"2025-08-11 08:07:09.232","2025-08-11 08:07:25.368"
7,"cart","/resources/threedmodels/kenney_fantasy-town-kit_2.0/Models/FBX format/cart.fbx",".fbx","threedmodels","47520","4464915bbc28067c6beab8f5b786211971444476f554dc845dfd96d0e6ffdeea455d9a6ad84d40b3a11f0cf2f09cb614a29b430fd24a1ed7bfca0ed5809e156e",,"2025-08-11 08:07:09.237","2025-08-11 08:07:25.369"
8,"chimney-base","/resources/threedmodels/kenney_fantasy-town-kit_2.0/Models/FBX format/chimney-base.fbx",".fbx","threedmodels","26832","4950e2bcd8d1ef1477edf577d2c53ee50549e3767cea6f002a7ed5bf99d989c37ab4d8b92e86ffa517a03b025b03eca6936da5d032322fb6ff7806f3b0eae948",,"2025-08-11 08:07:09.243","2025-08-11 08:07:25.372"
9,"chimney-top","/resources/threedmodels/kenney_fantasy-town-kit_2.0/Models/FBX format/chimney-top.fbx",".fbx","threedmodels","26672","5b9b839bfa5a41720850f7e16de3c5cd8cf77ba4110e130ae0e7bc5ac9cf253e0e03426bd1ac7509bfb25becf5ca8379d2cecbe0ff376c20de368d6a8bc587c2",,"2025-08-11 08:07:09.249","2025-08-11 08:07:25.373"
10,"chimney","/resources/threedmodels/kenney_fantasy-town-kit_2.0/Models/FBX format/chimney.fbx",".fbx","threedmodels","28192","1ce560af0c5e1035c7617b5676cb5a90a892110a073a90c1057201efd9669c0a413d2709afd06fee3019d919352aed1bda01014f84fe3696358eaecddf8cc30e",,"2025-08-11 08:07:09.254","2025-08-11 08:07:25.375"
11,"fence-broken","/resources/threedmodels/kenney_fantasy-town-kit_2.0/Models/FBX format/fence-broken.fbx",".fbx","threedmodels","26624","8ba49acefdab79279314ac3d37695791a2b3b6635f79c0d0855400beb92b09b4ae2043d0cfd15315a71c1704304977f1b01d290d02cf257b0e12f6832c596b27",,"2025-08-11 08:07:09.259","2025-08-11 08:07:25.378"
12,"fence-curved","/resources/threedmodels/kenney_fantasy-town-kit_2.0/Models/FBX format/fence-curved.fbx",".fbx","threedmodels","30960","d4973b1fb5d5705580d711e6cfba8e26b4a0bf5abbbbf20a5da1df3012bc170e431ce87804d2301ef9bfa1c3a511aa41f785c61f7bc7e61b38976665e5a78d05",,"2025-08-11 08:07:09.265","2025-08-11 08:07:25.38"
13,"fence-gate","/resources/threedmodels/kenney_fantasy-town-kit_2.0/Models/FBX format/fence-gate.fbx",".fbx","threedmodels","42112","0cd89086714482f198cfadf52ffae5dece9aca4d5b463bd30992a8c1ffca4afc78fa1db2f96603f755134c29ea8194612765838677d3482520e538d5fa5cf35c",,"2025-08-11 08:07:09.27","2025-08-11 08:07:25.382"
14,"fence","/resources/threedmodels/kenney_fantasy-town-kit_2.0/Models/FBX format/fence.fbx",".fbx","threedmodels","26992","79b98c3d86783e3312c1b7be3abe41a2a6f382df9f5c62224ef2ca4f15162d51503b6ded826c55551b631af8001c64623789721135b0afc271f84e5da4d11a92",,"2025-08-11 08:07:09.276","2025-08-11 08:07:25.385"
15,"fountain-center","/resources/threedmodels/kenney_fantasy-town-kit_2.0/Models/FBX format/fountain-center.fbx",".fbx","threedmodels","29408","fff45c6c08802f444811ebe4a36be4708cc0913b31672136eadec00eafaba4786edb08ecea262b3e8750e469de9fbe91deb6682998f7dfef29d6deab0a4edbd3",,"2025-08-11 08:07:09.281","2025-08-11 08:07:25.386"
16,"fountain-corner-inner-square","/resources/threedmodels/kenney_fantasy-town-kit_2.0/Models/FBX format/fountain-corner-inner-square.fbx",".fbx","threedmodels","35776","b23b9fea20035a6f9b9f7c79578bf81d7bc8a4b747752b8b80ad62e8c0b48bd7d79373620f1fd1dae339c11181aa663bc97ba95aac14cd37a43d49582811a629",,"2025-08-11 08:07:09.289","2025-08-11 08:07:25.387"
17,"fountain-corner-inner","/resources/threedmodels/kenney_fantasy-town-kit_2.0/Models/FBX format/fountain-corner-inner.fbx",".fbx","threedmodels","39072","765e00e41ded9c261999945fda05c850d6ba5e358b7fa818034859fa0525b1d4aa93f6a27ef04fcb9e88faba9184e18af55df82dd31f267a875c28cb0589294c",,"2025-08-11 08:07:09.293","2025-08-11 08:07:25.389"
18,"fountain-corner","/resources/threedmodels/kenney_fantasy-town-kit_2.0/Models/FBX format/fountain-corner.fbx",".fbx","threedmodels","32672","40c39220e02c442904a38d5d5897731c6d20f832f93fc02d49a5aee5d4f27755ee6d341214ee5b98b725ed1c2071591d87f4be3ae7935142d46c96ee435f822b",,"2025-08-11 08:07:09.299","2025-08-11 08:07:25.39"
19,"fountain-curved","/resources/threedmodels/kenney_fantasy-town-kit_2.0/Models/FBX format/fountain-curved.fbx",".fbx","threedmodels","41056","44c49a5f8ecfdfc23bd4f64f0bdc99dcc329959375a77a1e64384ca17711fc94fad2f4f06639f798c3f1a3234818b6fcd712acdb2a74190529abc606443da4ab",,"2025-08-11 08:07:09.305","2025-08-11 08:07:25.392"
20,"fountain-edge","/resources/threedmodels/kenney_fantasy-town-kit_2.0/Models/FBX format/fountain-edge.fbx",".fbx","threedmodels","33744","ebea4deefdd8bb84b619f611df6c757f59283d9f24d68f0541c09a6cdfdd690a888c974d07d16e91d6d0e8a14490d2226f3dc704c2dbfedc8b04a6ebbac8d232",,"2025-08-11 08:07:09.31","2025-08-11 08:07:25.395"
21,"fountain-round-detail","/resources/threedmodels/kenney_fantasy-town-kit_2.0/Models/FBX format/fountain-round-detail.fbx",".fbx","threedmodels","82656","9632d27e132fe6182d690e51e54665cc8872056659b74454c8773701747abb8229c6cf0faee5ea0fc337c57cd8e25f60f43b1c0c9d4a2937ee16a2dba8ab18d6",,"2025-08-11 08:07:09.319","2025-08-11 08:07:25.397"
22,"fountain-round","/resources/threedmodels/kenney_fantasy-town-kit_2.0/Models/FBX format/fountain-round.fbx",".fbx","threedmodels","60144","7fb9d0795c009ca2c24d92f0d812a9d35143b62e74c6bde58964fca62fb2a2c38973a181de3067148a0560cd40463faa21adaea16d715a0ec6eb2152ada9f30a",,"2025-08-11 08:07:09.323","2025-08-11 08:07:25.398"
23,"fountain-square-detail","/resources/threedmodels/kenney_fantasy-town-kit_2.0/Models/FBX format/fountain-square-detail.fbx",".fbx","threedmodels","39984","56274f41fe212c62643c0ad0ce55be6be3ad5bc7a1a403cd4827a771609a48a77b86a6d37d78613bd3dd563641f7e63217699bcec7f9eabd286698212fdee964",,"2025-08-11 08:07:09.329","2025-08-11 08:07:25.401"
24,"fountain-square","/resources/threedmodels/kenney_fantasy-town-kit_2.0/Models/FBX format/fountain-square.fbx",".fbx","threedmodels","37376","4442187453c9c05490c7f4d1c525f5d3e476b124efbb99fa95f1240c9a266fd5e75620c4e4a2ec763dd9f773af38a2bd08721df4a55d4be6580b32251b87277c",,"2025-08-11 08:07:09.335","2025-08-11 08:07:25.403"
25,"hedge-curved","/resources/threedmodels/kenney_fantasy-town-kit_2.0/Models/FBX format/hedge-curved.fbx",".fbx","threedmodels","37104","b6229bf8116182fab9dc9de3eb30f3769b0ef0ce4a2d43b7af986cdc9cc92e3d52e93da1ed984a6c7e3cefc6a877c2ca4130eba6662ab6475b93bf3af669ac5c",,"2025-08-11 08:07:09.34","2025-08-11 08:07:25.404"
26,"hedge-gate","/resources/threedmodels/kenney_fantasy-town-kit_2.0/Models/FBX format/hedge-gate.fbx",".fbx","threedmodels","27488","5d750e50bfcf424b74f1aee8a47c92eedb37c1f529ac63f6537b8f57b2c2b9af5419fd96cd52f5704dcdce145ef3088d4640012176b8bbfc37474db757f875af",,"2025-08-11 08:07:09.345","2025-08-11 08:07:25.405"
27,"hedge-large-curved","/resources/threedmodels/kenney_fantasy-town-kit_2.0/Models/FBX format/hedge-large-curved.fbx",".fbx","threedmodels","38000","d9e58f0314cce675f52030be8e37ab73a3a783f47b77f8bcd5b873be03da6552308b5f709f13ccdce097ecd8019e6ddbe170c97c78ce64d4e34d53767a95ff8e",,"2025-08-11 08:07:09.351","2025-08-11 08:07:25.408"
28,"hedge-large-gate","/resources/threedmodels/kenney_fantasy-town-kit_2.0/Models/FBX format/hedge-large-gate.fbx",".fbx","threedmodels","31456","37d9b4d76b34b4ba34d6ccc04f35916364ac1b2168ff3188813a4ad3bdbed51098d157c1af27a86180dd98e2569f6ee8d04660a85a19bee1f794ee597fdbe733",,"2025-08-11 08:07:09.357","2025-08-11 08:07:25.409"
